episode,total_reward,episode_length
1,262.86,100
2,351.16,100
3,-3.2062,1
4,305.05,100
5,267.12,100
6,207.26,100
7,364.28,100
8,201.38,100
9,-129.26,100
10,255.15,100
11,-3.2106,1
12,335.1,100
13,288.2,100
14,305.77,100
15,-116.46,100
16,-3.2155,1
17,-7.1204,3
18,201.52,100
19,-3.0887,1
20,-116.025,100
