#{"t_start": 1781387336.745137, "env_id": "None"}
r,l,t
321.9885,100,366.841184
288.8325,100,368.96301
-385.0721,100,371.104604
305.2746,100,373.222152
-7.4341,2,373.276394
-365.2781,100,375.388197
259.9382,100,377.506195
-2.898,2,377.561139
218.608,100,379.924353
-180.9883,100,382.039731
200.5644,100,384.15607
238.9814,100,386.268241
-3.2062,1,386.301821
-381.6016,100,388.425653
-47.658,100,390.566899
-392.3146,100,392.681988
219.391,100,394.786356
210.699,100,396.89627
237.4426,100,399.202601
-3.1132,1,399.234672
-386.3712,100,401.33964
-15.5929,5,401.463414
177.9161,100,403.570489
-3.2323,1,403.603122
-3.214,1,403.635477
136.4298,100,405.755693
-3.2078,1,405.787595
-7.0907,3,405.862635
263.843,100,407.999132
303.2011,100,410.108473
-162.6719,100,418.668483
-382.914,100,420.785904
-3.214,1,420.81835
-3.2062,1,420.85251
-7.0636,3,420.928711
319.978,100,423.054279
239.5652,100,425.171307
148.5563,100,427.282901
175.279,100,429.653753
222.6582,100,431.772442
279.1312,100,433.884346
265.5744,100,436.009026
268.0048,100,438.128192
-6.7189,4,438.224169
314.7812,100,440.353159
-3.2078,1,440.387483
131.5697,100,442.502758
270.525,100,444.61923
313.7638,100,446.74049
203.0117,100,448.848145
270.6699,100,450.975509
132.2682,100,453.104148
278.4397,100,455.219974
144.9458,100,457.333232
-52.4738,100,459.458482
174.0364,100,461.590166
239.9215,100,463.725039
150.4035,100,465.847494
195.2046,100,468.013206
-390.0106,100,470.15384
303.9512,100,472.572602
250.9892,100,474.704249
279.1998,100,476.890504
-3.2078,1,476.922472
323.895,100,479.064951
183.8754,100,481.21109
-10.6509,6,481.355497
264.8048,100,483.503016
-3.2059,1,483.537161
-5.7831,7,483.697315
315.6717,100,485.811533
296.0122,100,487.939242
259.3002,100,490.069588
194.092,100,492.193648
271.4664,100,494.317216
-3.2078,1,494.35332
171.6093,100,496.476069
-2.896,2,496.531943
-7.4104,2,496.586645
-2.5597,3,496.662954
142.2674,100,498.788366
-3.2323,1,498.82161
259.6861,100,500.937308
266.622,100,503.048585
-69.8081,100,505.154569
275.0434,100,507.28257
-3.2087,1,507.315392
142.7057,100,509.444005
244.254,100,511.561589
197.4814,100,513.676996
296.9896,100,515.801489
-377.4605,100,518.208806
-46.7226,100,520.332214
-3.1132,1,520.367245
277.5449,100,522.505794
-373.692,100,524.630507
-189.7286,100,526.762917
325.5302,100,529.017267
-7.0381,3,529.091587
263.1757,100,531.217356
244.382,100,533.350576
-3.2323,1,533.384823
-7.3994,2,533.44188
-3.2209,1,533.477569
136.5146,100,535.640759
251.4345,100,537.760399
-2.167,4,537.857065
134.7772,100,540.006094
-3.0882,1,540.039265
201.1242,100,542.204524
218.23,100,544.412772
-3.2073,1,544.446772
332.2412,100,546.58576
-3.2299,1,546.620038
-3.2029,1,546.652138
-381.4345,100,548.788366
296.14,100,550.965367
156.087,100,553.078143
265.6175,100,555.214695
-6.7399,3,555.290316
278.6262,100,557.429878
148.8462,100,559.577876
120.6462,100,561.985394
-7.0907,3,562.061312
307.3509,100,564.185983
203.2649,100,566.316566
138.7114,100,568.462927
